Date,Region,Category,Product,Segment,Units,Revenue,Profit
2023-01-02,Latin America,Furniture,"Standing Desk Pro",Consumer,4,1492,158
2023-01-04,Middle East,Software,"Design Studio License",Consumer,5,1914,1198
2023-01-05,Middle East,Accessories,"Wireless Mouse",Consumer,1,19,6
2023-01-05,Middle East,Furniture,"Standing Desk Pro",Enterprise,3,799,152
2023-01-07,Asia Pacific,Accessories,"Mechanical Keyboard",Enterprise,8,948,332
2023-01-10,Middle East,Accessories,"Laptop Sleeve",Government,4,69,26
2023-01-12,Asia Pacific,Accessories,"Wireless Mouse",SMB,10,396,182
2023-01-14,Asia Pacific,Software,"Analytics Suite License",SMB,2,1954,1179
2023-01-14,Asia Pacific,Accessories,"USB-C Hub",Enterprise,7,346,168
2023-01-16,Middle East,Software,"Cloud Backup Plan",Consumer,3,359,208
2023-01-17,Latin America,Software,"Design Studio License",Enterprise,4,1895,1296
2023-01-19,North America,Office Supplies,"Label Printer",Government,12,2288,976
2023-01-19,Asia Pacific,Software,"Design Studio License",Consumer,2,1095,625
2023-01-20,Latin America,Office Supplies,"Premium Notebook Set",SMB,3,54,19
2023-01-22,Latin America,Software,"Design Studio License",SMB,1,422,243
2023-01-23,North America,Accessories,"Laptop Sleeve",Consumer,11,419,136
2023-01-24,Latin America,Software,"Analytics Suite License",Consumer,6,4341,2894
2023-01-25,Latin America,Software,"Cloud Backup Plan",SMB,1,133,90
2023-01-26,Latin America,Electronics,"Vertex Monitor 27"",Consumer,3,672,112
2023-01-26,Latin America,Office Supplies,"Ink Cartridge Pack",Government,1,39,14
2023-01-26,North America,Electronics,"Echo Wireless Earbuds",Government,8,1094,244
2023-01-27,Middle East,Electronics,"Echo Wireless Earbuds",Enterprise,4,318,75
2023-01-28,Middle East,Furniture,"Standing Desk Pro",Consumer,5,1339,143
2023-02-02,Asia Pacific,Furniture,"Ergo Office Chair",SMB,11,3360,593
2023-02-02,Asia Pacific,Software,"Cloud Backup Plan",Government,7,1585,921
2023-02-03,Asia Pacific,Accessories,"Laptop Sleeve",Consumer,9,258,101
2023-02-03,Asia Pacific,Furniture,"Ergo Office Chair",Enterprise,4,1244,166
2023-02-03,Asia Pacific,Accessories,"USB-C Hub",Consumer,5,283,116
2023-02-05,Latin America,Accessories,"Wireless Mouse",Consumer,6,162,69
2023-02-08,Asia Pacific,Accessories,"Mechanical Keyboard",SMB,9,1042,501
2023-02-10,Asia Pacific,Furniture,"Ergo Office Chair",Enterprise,6,1710,256
2023-02-12,Latin America,Electronics,"Aurora Laptop 14"",SMB,5,3055,858
2023-02-13,Europe,Software,"Analytics Suite License",Consumer,8,9617,6461
2023-02-13,Middle East,Software,"Security Shield Pro",Government,5,1624,1147
2023-02-13,Latin America,Electronics,"Aurora Laptop 14"",Government,4,2389,668
2023-02-14,Asia Pacific,Software,"Design Studio License",SMB,1,694,461
2023-02-16,North America,Furniture,"Ergo Office Chair",SMB,2,758,79
2023-02-16,Latin America,Electronics,"Vertex Monitor 27"",Consumer,7,1278,233
2023-02-18,Asia Pacific,Office Supplies,"Premium Notebook Set",Government,10,293,85
2023-02-19,North America,Office Supplies,"Ink Cartridge Pack",Enterprise,9,565,230
2023-02-19,Latin America,Electronics,"Vertex Monitor 27"",Government,1,240,49
2023-02-19,Asia Pacific,Accessories,"Laptop Sleeve",Consumer,1,30,11
2023-02-20,Europe,Electronics,"Vertex Monitor 27"",SMB,11,3553,1193
2023-02-20,Latin America,Office Supplies,"Ink Cartridge Pack",SMB,7,288,76
2023-02-21,Latin America,Office Supplies,"Stapler Deluxe",Consumer,4,57,16
2023-02-23,Middle East,Office Supplies,"Premium Notebook Set",Enterprise,4,52,11
2023-02-24,Europe,Furniture,"Ergo Office Chair",Consumer,10,2880,479
2023-02-25,Middle East,Office Supplies,"Stapler Deluxe",SMB,1,13,5
2023-02-25,Middle East,Office Supplies,"Ink Cartridge Pack",Consumer,5,165,57
2023-02-27,Middle East,Accessories,"Mechanical Keyboard",Enterprise,4,276,130
2023-02-27,Asia Pacific,Accessories,"Wireless Mouse",Government,9,382,167
2023-02-27,North America,Furniture,"Modular Bookshelf",Government,12,2729,349
2023-02-28,Europe,Software,"Analytics Suite License",Government,4,4158,2401
2023-02-28,North America,Office Supplies,"Stapler Deluxe",SMB,4,74,27
2023-02-28,Middle East,Software,"Security Shield Pro",Enterprise,6,2077,1251
2023-03-01,Middle East,Software,"Design Studio License",Enterprise,5,2262,1367
2023-03-01,Asia Pacific,Accessories,"USB-C Hub",SMB,7,397,129
2023-03-01,North America,Furniture,"Standing Desk Pro",SMB,10,5882,964
2023-03-02,Latin America,Electronics,"Pulse Smartphone",Enterprise,1,532,131
2023-03-04,North America,Accessories,"Laptop Sleeve",Government,8,309,129
2023-03-05,Europe,Accessories,"Laptop Sleeve",Government,5,179,62
2023-03-05,Europe,Electronics,"Aurora Laptop 14"",SMB,7,8831,1665
2023-03-06,Middle East,Software,"Analytics Suite License",Government,2,1335,973
2023-03-09,Europe,Electronics,"Pulse Smartphone",Enterprise,4,2728,461
2023-03-09,Europe,Software,"Cloud Backup Plan",Consumer,3,679,404
2023-03-09,Europe,Accessories,"Wireless Mouse",Enterprise,1,42,19
2023-03-11,Europe,Software,"Design Studio License",Consumer,3,2115,1436
2023-03-12,Middle East,Office Supplies,"Ink Cartridge Pack",Government,5,186,60
2023-03-13,Middle East,Office Supplies,"Ink Cartridge Pack",Government,3,120,53
2023-03-14,Asia Pacific,Electronics,"Pulse Smartphone",Enterprise,8,6631,1829
2023-03-19,North America,Software,"Security Shield Pro",Government,11,8233,4674
2023-03-21,North America,Accessories,"Laptop Sleeve",Government,9,404,177
2023-03-21,Middle East,Electronics,"Nimbus Tablet",SMB,5,1758,495
2023-03-21,Asia Pacific,Accessories,"USB-C Hub",Government,4,175,62
2023-03-23,Europe,Electronics,"Pulse Smartphone",SMB,7,5545,1040
2023-03-24,Asia Pacific,Electronics,"Nimbus Tablet",Government,7,4307,1276
2023-03-27,North America,Furniture,"Standing Desk Pro",SMB,8,4882,549
